Year,Title,Japan distribution rentals,Japan gross receipts
1977,Space Battleship Yamato,900000000,2100000000
1978,Farewell to Space Battleship Yamato,2120000000,4300000000
1979,Galaxy Express 999,1650000000,4240000000
1980,Doraemon: Nobita's Dinosaur,1550000000,2640000000
1981,Doraemon: The Records of Nobita Spaceblazer,1750000000,2980000000
1982,Mobile Suit Gundam III: Encounters in Space,1290000000,2310000000
1983,Doraemon:Nobita Castle of Undersea Devil,1060000000,1800000000
1984,Doraemon: Nobita's Great Adventure into the Underworld,1650000000,2810000000
1985,Doraemon: Nobita's Little Star Wars,1200000000,2040000000
1986,Doraemon: Nobita and the Steel Troops,1300000000,2210000000
1987,Doraemon: Nobita and the Knights on Dinosaurs,1500000000,2550000000
1988,Doraemon: The Record of Nobita's Parallel Visit to the West,1360000000,2310000000
1989,Kiki's Delivery Service,2170000000,4300000000
1990,Doraemon: Nobita and the Animal Planet,1910000000,3250000000
1991,Only Yesterday,1870000000,3180000000
1992,Porco Rosso,2800000000,5400000000
1993,Doraemon: Nobita and the Tin Labyrinth,1650000000,2810000000
1994,Pom Poko,2650000000,4470000000
1995,Whisper of the Heart,1850000000,3150000000
1996,Doraemon: Nobita and the Galaxy Super-express,1600000000,2720000000
