Year,Title,Worldwide gross,Budget,Ref
1997,Princess Mononoke,169785629,23500000,[42]
1998,Pokémon: The First Movie,172744662,350000000,[157][158]
1999,Pokemon: The Movie 2000,133949270,32000000,[159]
2000,Pokémon 3: The Movie,70157342,16000000,[69][70]
2001,Spirited Away,395580000,19000000,[36][160]
2002,Detective Conan: The Phantom of Baker Street,3400000000,N/A,[161]
2003,Pokémon: Jirachi Wish Maker,4500000000,N/A,[93]
2004,Howl's Moving Castle,235000000,N/A,[162]
2005,Pokémon: Lucario and the Mystery of Mew,4300000000,N/A,[163]
2006,Tales from Earthsea,75500000,N/A,[42]
2007,Doraemon: Nobita's New Great Adventure into the Underworld,42496749,N/A,[164]
2008,Ponyo,201751937,34000000,[165][166]
2009,One Piece Film: Strong World,61221810,N/A,[l]
2010,The Secret World of Arrietty,145600000,23000000,[167]
2011,From Up on Poppy Hill,61459425,22000000,[168][169]
2012,One Piece: Film Z,85119728,N/A,[f]
2013,The Wind Rises,136500000,30000000,[46]
2014,Stand by Me Doraemon,196442714,35000000,[41]
2015,Dragon Ball Z: Resurrection 'F',7900000000,5000000,[61][170]
2016,Your Name,380140500,N/A,[36][38]
2017,Doraemon: Nobita's Great Adventure in the Antarctic Kachi Kochi,68140744,N/A,[72]
2018,Dragon Ball Super: Broly,124500000,8500000,[48][49]
2019,Weathering with You,193176979,N/A,[43]
2020,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,428472164,N/A,[b]
2021,Evangelion: 3.0+1.0 Thrice Upon a Time,63772023,N/A,[171]
