Rank,Title,Studio,Worldwide gross,Year,Ref
1,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,Ufotable,428472164,2020,[b]
2,Spirited Away,Studio Ghibli,395580000,2001,[36][37]
3,Your Name,CoMix Wave Films,380140500,2016,[36][38]
4,Howl's Moving Castle,Studio Ghibli,235184110,2004,[39]
5,Ponyo,Studio Ghibli,203204882,2008,[40]
6,Stand by Me Doraemon,Shirogumi Shin-Ei Animation,196457823,2014,[41]
7,Weathering With You,CoMix Wave Films,193186879,2019,[42]
8,Pokémon: The First Movie,OLM,172744662,1998,[43]
9,Princess Mononoke,Studio Ghibli,169785629,1997,[44]
10,The Secret World of Arrietty,Studio Ghibli,145570827,2010,[45]
11,The Wind Rises,Studio Ghibli,136333220,2013,[46]
12,Pokémon: The Movie 2000,OLM,133949270,1999,[47]
13,Dragon Ball Super: Broly,Toei Animation,124500000,2018,[c]
14,Detective Conan: The Fist of Blue Sapphire,TMS Entertainment,119875024,2019,[d]
15,Detective Conan: Zero the Enforcer,TMS Entertainment,108105223,2018,[52]
16,One Piece: Stampede,Toei Animation,94684223,2019,[e]
17,Doraemon the Movie: Nobita's Treasure Island,Shin-Ei Animation,85218525,2018,[f]
18,One Piece Film: Z,Toei Animation,85119728,2012,[g]
19,Yo-kai Watch: The Movie,OLM,80268947,2014,[h]
20,Tales from Earthsea,Studio Ghibli,75500000,2006,[42]
21,Dragon Ball Z: Resurrection 'F',Toei Animation,72615033,2015,[61]
22,Pokémon Zoroark: Master of Illusions,OLM,71143529,2010,[62]
23,One Piece Film: Gold,Toei Animation,70840000,2016,[i]
24,Pokémon 3: The Movie,OLM,70157342,2000,[69][70]
25,Evangelion: 3.0 You Can (Not) Redo,Studio Khara,67021068,2012,[j]
26,Detective Conan: The Darkest Nightmare,TMS Entertainment,66280000,2016,[71]
27,Doraemon: Nobita's Great Adventure in the Antarctic Kachi Kochi,Shin-Ei Animation,65500000,2017,[72]
28,Doraemon: Nobita's Chronicle of the Moon Exploration,Shin-Ei Animation,65406606,2019,[73]
29,Detective Conan: The Crimson Love Letter,TMS Entertainment,64450000,2017,[74][75]
30,Evangelion: 3.0+1.0 Thrice Upon a Time,Studio Khara,63772023,2021,[k]
31,From Up on Poppy Hill,Studio Ghibli,61459425,2011,[77]
32,One Piece Film: Strong World,Toei Animation,61221810,2009,[l]
33,Detective Conan: Sunflowers of Inferno,TMS Entertainment,60985674,2015,[80]
34,Porco Rosso,Studio Ghibli,58990641,1992,[m]
35,Yo-kai Watch: Enma Daiō and the Five Tales Meow!,OLM,58850969,2015,[n]
36,Doraemon: Nobita and the Birth of Japan 2016,Shin-Ei Animation,58400000,2016,[81]
37,Pokémon: Black and White,OLM,57082491,2011,[82]
38,Wolf Children,Studio Chizu,54999779,2012,[83]
39,The Cat Returns,Studio Ghibli,54505478,2002,[84]
40,Pokémon: Arceus and the Jewel of Life,OLM,50673078,2009,[85]
41,Dragon Ball Z: Battle of Gods,Toei Animation,50353002,2013,[86]
42,Akira,TMS Entertainment,49000000,1988,[87]
43,Doraemon: Nobita and the Island of Miracles—Animal Adventure,Shin-Ei Animation,47043183,2012,[o]
44,Detective Conan: Quarter of Silence,TMS Entertainment,47024973,2011,[88]
45,Doraemon: Nobita's Secret Gadget Museum,Shin-Ei Animation,46111353,2013,[p]
46,Pokémon the Movie: Kyurem vs. the Sword of Justice,OLM,46008255,2012,[89]
47,Lupin III vs. Detective Conan: The Movie,TMS Entertainment,45281157,2013,[q]
48,My Neighbor Totoro,Studio Ghibli,45043225,1988,[90][91]
49,Detective Conan: The Eleventh Striker,TMS Entertainment,44068406,2012,[92]
50,Doraemon: Nobita's Great Battle of the Mermaid King,Shin-Ei Animation,43723459,2010,[93]
