Rank,Title,Japan gross ( billion),Year,Ref
1,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,39.44,2020,[94]
2,Spirited Away,31.68,2001,[95]
3,Your Name,25.03,2016,[96]
4,Princess Mononoke,20.18,1997,[95]
5,Howl's Moving Castle,19.60,2004,[97]
6,Ponyo,15.50,2008,[98]
7,Weathering with You,14.06,2019,[99]
8,The Wind Rises,12.02,2013,[100]
9,Detective Conan: The Fist of Blue Sapphire,9.37,2019,[99]
10,Arrietty,9.25,2010,[101]
11,Detective Conan: Zero the Enforcer,9.18,2018,[102]
12,Stand by Me Doraemon,8.38,2014,[103]
13,Tales from Earthsea,7.84,2006,[42]
14,Yo-kai Watch: The Movie,7.80,2014,[99]
15,Pokémon: The First Movie,7.60,1998,[99]
16,Evangelion: 3.0+1.0 Thrice Upon a Time,7.00,2021,[104]
17,Detective Conan: The Crimson Love Letter,6.89,2017,[99]
18,One Piece Film: Z,6.87,2012,[105]
19,The Cat Returns,6.46,2002,[106]
20,Pokémon: The Movie 2000,6.40,1999,[106]
21,Detective Conan: The Darkest Nightmare,6.33,2016,[99]
22,The Boy and the Beast,5.85,2015,[107]
23,One Piece: Stampede,5.55,2019,[108]
24,Yo-kai Watch: Enma Daiō to Itsutsu no Monogatari da Nyan!,5.53,2015,[109]
25,Porco Rosso,5.40,1992,[110]
26,Doraemon the Movie: Nobita's Treasure Island,5.37,2018,[111]
27,Evangelion: 3.0 You Can (Not) Redo,5.30,2012,[112][113]
28,One Piece Film: Gold,5.20,2016,[114]
29,Pokémon: The Rise of Darkrai,5.02,2007,[115]
30,Doraemon: Nobita's Chronicle of the Moon Exploration,5.01,2019,[116]
31,Pokémon 3: The Movie,4.85,2000,[115]
32,One Piece Film: Strong World,4.80,2009,[117]
33,Pokémon: Giratina and the Sky Warrior,4.80,2008,[115][118]
34,Pokémon: Arceus and the Jewel of Life,4.67,2009,[115][119]
35,Pokémon: Jirachi—Wish Maker,4.50,2003,[115]
36,Detective Conan: Sunflowers of Inferno,4.48,2015,[120]
37,Pom Poko,4.47,1994,[121][122]
38,From Up on Poppy Hill,4.46,2011,[123]
39,Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi,4.43,2017,[124]
40,Pokémon: Destiny Deoxys,4.38,2004,[115][125]
41,Pokémon the Movie: Black—Victini and Reshiram and White—Victini and Zekrom,4.33,2011,[115]
42,Farewell to Space Battleship Yamato,4.30,1978,[126]
43,Kiki's Delivery Service,4.30,1989,[127]
44,Pokémon: Lucario and the Mystery of Mew,4.30,2005,[115]
45,Lupin the 3rd vs. Detective Conan: The Movie,4.26,2013,[128]
46,Wolf Children,4.22,2012,[129]
47,Pokémon: Zoroark: Master of Illusions,4.16,2010,[115]
48,Doraemon: Nobita and the Birth of Japan 2016,4.12,2016,[124]
49,Detective Conan: Dimensional Sniper,4.11,2014,[120]
50,Dragon Ball Super: Broly,4.00,2018,[130][131]
