Title,Ticket sales (est.),Year,Ref
Spirited Away,45595221,2001,[r]
Your Name,44342412,2016,[s]
Pokémon: The First Movie,36837706,1998,[t]
Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,32963398,2020,[u]
Weathering with You,22668643,2019,[v]
Stand by Me Doraemon,22660474,2014,[w]
Howl's Moving Castle,21943336,2004,[x]
Pokémon: The Movie 2000,19503160,2000,[y]
Ponyo,18101454,2008,[z]
Dragon Ball Super: Broly,16227175,2018,[aa]
Princess Mononoke,16214830,1997,[ab]
Detective Conan: The Fist of Blue Sapphire,14433977,2019,[ac]
The Secret World of Arrietty,12415730,2012,[ad]
The Wind Rises,11851749,2013,[ae]
Pokémon 3: The Movie,10072449,2001,[af]
Digimon: The Movie,6546909,2000,[ag]
Evangelion: 3.0+1.0 Thrice Upon a Time,4513374,2021,[ah]
Yu-Gi-Oh! The Movie,4436708,2004,[ai]
Akira,2895717,1988,[aj]
